Tavg,RH_avg,RR,ss,ff_avg
28.9,76,99.8,4.8,3
27.6,80,170.7,0,3
28.6,82,36,9.1,2
28.7,78,0.5,4,2
29.1,74,7,9.3,3
27.4,79,142.3,1,2
28.2,81,0,5.4,3
27.1,84,43.9,2.8,3
26.8,83,161.3,1.5,4
27.6,82,18.4,5.9,2
26.7,86,22.2,0,2
26.9,85,15.8,1,2
28,84,39,0,4
27,90,28.2,4.1,3
26.1,86,134.7,0,3
26.4,85,0.3,6.8,2
27.1,80,150,0.2,3
27.6,81,13.3,8.5,2
29.3,74,0.8,6,3
27.0,72,115.9,3.2,4
28.7,80,0,9.1,3
27.2,83,2.5,5.6,3
28.7,78,0.4,0,3
26,90,190.2,0,4
28.2,80,0,7.1,1
28.6,80,0,1.6,2
27.2,78,146.7,0.8,3
